age,job,marital,education,default,balance,housing,loan,month,duration,campaign,pdays,previous,y
28,technician,single,secondary,yes,-298,yes,no,jun,559,7,-1,0,no
42,technician,married,secondary,no,439,no,no,aug,143,2,-1,0,no
40,services,divorced,secondary,no,1927,yes,no,may,62,1,-1,0,no
59,management,single,secondary,no,671,yes,yes,jan,219,2,259,5,no
40,services,single,secondary,no,65,yes,no,may,15,3,-1,0,no
43,technician,married,secondary,no,-932,yes,no,apr,567,1,-1,0,no
38,technician,single,secondary,no,4366,yes,no,jul,188,2,-1,0,no
54,retired,married,primary,no,0,yes,no,jul,159,2,-1,0,no
41,blue-collar,married,secondary,no,4900,yes,no,jul,121,2,-1,0,no
55,housemaid,divorced,primary,no,976,no,no,jun,345,1,94,3,yes
33,management,married,tertiary,no,148,no,no,may,717,1,-1,0,no
46,blue-collar,married,secondary,no,5,no,no,aug,71,3,-1,0,no
36,management,married,secondary,no,-148,no,no,nov,144,2,-1,0,no
48,technician,divorced,tertiary,no,113,no,yes,jul,38,1,-1,0,no
42,management,married,secondary,no,-105,yes,no,aug,60,2,-1,0,no
46,management,divorced,tertiary,no,624,no,no,sep,336,2,183,2,yes
49,technician,married,secondary,yes,-1680,yes,yes,jun,92,4,-1,0,no
36,blue-collar,married,secondary,no,-461,no,no,may,254,2,353,1,no
34,technician,single,tertiary,no,144,yes,yes,oct,104,1,85,19,no
51,entrepreneur,divorced,tertiary,no,4,yes,yes,apr,74,5,-1,0,no
58,blue-collar,married,primary,no,309,no,no,aug,156,2,-1,0,no
48,management,married,tertiary,no,866,no,no,jan,146,2,-1,0,no
41,admin.,single,secondary,no,1020,yes,no,may,882,1,-1,0,yes
49,self-employed,married,primary,no,489,yes,no,may,84,4,-1,0,no
43,management,married,primary,no,8167,yes,no,may,114,2,-1,0,no
32,blue-collar,single,secondary,no,-255,no,yes,jul,957,3,-1,0,no
54,retired,married,secondary,no,3671,no,no,jun,67,3,-1,0,no
33,blue-collar,divorced,primary,no,636,yes,no,jul,211,11,-1,0,no
35,technician,married,secondary,no,141,yes,no,aug,299,2,-1,0,no
56,technician,married,secondary,no,150,yes,yes,may,102,6,349,1,no
57,technician,married,secondary,no,839,no,yes,may,225,1,-1,0,no
31,housemaid,single,primary,no,26965,no,no,apr,654,2,-1,0,yes
33,technician,single,secondary,no,716,yes,no,may,234,2,-1,0,no
29,technician,single,tertiary,no,2485,no,no,jul,48,6,-1,0,no
38,management,single,tertiary,no,15030,yes,no,may,167,1,174,7,no
37,admin.,married,secondary,no,11303,no,no,may,500,2,-1,0,no
33,entrepreneur,married,tertiary,no,595,no,no,aug,22,2,-1,0,no
30,management,single,tertiary,no,19358,no,no,nov,258,2,-1,0,no
31,self-employed,single,secondary,no,203,no,yes,nov,177,1,-1,0,no
28,technician,single,tertiary,no,183,yes,yes,may,62,2,-1,0,no
26,admin.,single,secondary,no,255,no,no,apr,457,1,80,1,yes
31,technician,single,secondary,no,102,yes,no,apr,460,2,345,2,no
50,housemaid,divorced,primary,no,94,yes,no,jul,184,4,-1,0,no
45,entrepreneur,married,primary,no,58,yes,no,may,119,3,371,3,no
48,management,married,primary,no,606,no,no,mar,77,6,-1,0,no
41,technician,married,secondary,no,0,no,yes,jul,107,1,-1,0,no
60,technician,married,primary,no,65,yes,no,may,1028,2,-1,0,yes
41,blue-collar,married,secondary,no,338,yes,no,may,87,1,-1,0,no
43,blue-collar,married,primary,no,757,yes,no,may,315,4,-1,0,no
36,management,married,tertiary,no,9269,yes,yes,nov,107,2,-1,0,no
40,blue-collar,married,primary,no,1206,no,yes,jul,201,5,-1,0,no
28,management,single,tertiary,no,882,no,yes,jan,94,1,205,2,no
27,student,single,tertiary,no,5291,no,no,nov,192,2,92,2,yes
49,management,single,secondary,no,61,yes,no,jan,185,2,246,1,no
37,technician,married,tertiary,no,0,yes,no,nov,77,1,-1,0,no
31,blue-collar,married,secondary,no,1407,yes,no,may,142,3,-1,0,no
31,technician,single,secondary,yes,25,no,no,feb,381,1,-1,0,no
31,blue-collar,married,secondary,no,1354,yes,yes,nov,222,2,-1,0,no
35,blue-collar,married,primary,no,793,yes,no,apr,106,1,-1,0,no
51,blue-collar,divorced,unknown,no,10287,yes,no,may,117,1,-1,0,no
33,technician,single,secondary,no,5235,no,no,aug,67,3,-1,0,no
30,technician,single,tertiary,no,3,yes,no,may,45,2,169,2,no
58,technician,single,secondary,no,409,no,yes,jul,643,2,-1,0,no
34,admin.,married,tertiary,no,35,yes,no,oct,76,1,69,2,no
45,management,married,tertiary,no,-459,no,no,aug,508,6,-1,0,no
28,services,single,secondary,no,198,no,no,jul,128,2,-1,0,yes
31,blue-collar,married,primary,no,99,yes,no,apr,193,2,322,1,no
40,management,married,tertiary,no,60,no,no,jun,172,6,-1,0,no
30,services,single,secondary,no,3485,no,no,feb,142,2,-1,0,no
34,entrepreneur,married,secondary,no,-139,yes,yes,may,492,2,-1,0,no
40,blue-collar,married,secondary,no,952,no,yes,jun,140,1,-1,0,no
59,retired,married,primary,no,1427,no,no,jun,140,2,-1,0,no
43,technician,single,tertiary,no,1017,yes,no,may,257,2,-1,0,no
41,management,married,tertiary,no,-29,no,no,jan,41,2,266,2,no
33,technician,divorced,secondary,no,9,no,no,aug,91,2,-1,0,no
33,management,married,secondary,no,4040,yes,no,apr,132,2,-1,0,no
36,blue-collar,married,secondary,no,13,no,no,jun,284,1,-1,0,no
32,self-employed,single,secondary,no,1259,no,no,jul,184,2,-1,0,no
25,admin.,married,secondary,no,18,yes,no,jul,225,1,-1,0,no
25,blue-collar,married,secondary,no,-76,yes,no,may,241,3,-1,0,no
38,technician,single,tertiary,no,221,no,no,aug,79,3,-1,0,no
34,management,married,tertiary,no,136,yes,no,apr,156,1,-1,0,no
67,blue-collar,married,secondary,no,16353,no,no,oct,223,2,-1,0,no
32,blue-collar,married,secondary,no,-63,yes,no,may,198,1,-1,0,no
45,housemaid,married,primary,no,7353,no,no,aug,536,2,-1,0,no
33,blue-collar,married,primary,no,511,yes,no,may,304,2,-1,0,no
38,admin.,married,primary,no,3913,yes,no,apr,196,2,315,2,no
32,technician,divorced,secondary,no,1097,yes,no,may,298,2,-1,0,no
54,retired,divorced,tertiary,no,6102,yes,yes,may,86,6,-1,0,no
51,admin.,divorced,secondary,no,340,yes,no,may,186,1,-1,0,no
42,blue-collar,married,primary,no,-119,yes,no,jul,167,3,-1,0,no
41,admin.,married,secondary,no,2993,yes,no,jul,24,12,-1,0,no
39,management,divorced,tertiary,no,3575,no,yes,aug,74,3,-1,0,no
38,blue-collar,married,secondary,no,361,yes,no,jun,601,1,-1,0,no
39,management,married,secondary,no,1072,yes,no,may,1168,2,-1,0,no
46,blue-collar,married,primary,no,2904,no,no,apr,277,2,-1,0,no
50,entrepreneur,divorced,tertiary,no,1790,no,yes,feb,748,3,-1,0,no
33,blue-collar,married,secondary,no,86,yes,no,may,364,1,-1,0,no
37,technician,married,secondary,no,1633,yes,no,may,229,3,-1,0,no
31,management,married,tertiary,no,8312,no,no,aug,43,13,-1,0,no
34,blue-collar,divorced,unknown,no,172,no,no,jun,177,1,-1,0,yes
34,management,married,tertiary,no,0,yes,no,aug,262,1,99,2,yes
36,management,married,tertiary,no,222,yes,no,may,317,1,169,2,no
40,technician,married,secondary,no,109,no,no,jun,402,22,-1,0,no
40,blue-collar,married,secondary,no,1451,no,no,jun,314,1,-1,0,yes
41,technician,married,secondary,no,1066,no,no,feb,109,3,-1,0,yes
52,management,married,tertiary,no,3163,no,no,aug,56,6,-1,0,no
40,services,single,secondary,no,888,yes,no,may,169,2,-1,0,no
48,blue-collar,single,unknown,no,428,yes,no,may,127,1,-1,0,no
33,management,divorced,secondary,no,106,no,no,aug,175,3,-1,0,no
44,technician,divorced,secondary,no,0,no,no,aug,56,2,-1,0,no
55,management,married,tertiary,no,979,no,yes,jul,123,1,-1,0,no
51,admin.,married,secondary,no,2662,no,no,jan,148,2,-1,0,no
34,management,single,tertiary,no,84,no,no,feb,231,1,-1,0,no
58,retired,divorced,unknown,no,5920,yes,no,jul,255,1,-1,0,no
39,management,single,tertiary,no,816,yes,no,aug,37,3,-1,0,no
27,unemployed,single,secondary,no,3276,no,no,aug,106,1,110,2,no
55,management,divorced,unknown,no,2,yes,no,may,95,1,-1,0,no
35,technician,single,secondary,no,-51,no,no,jul,134,2,-1,0,no
37,technician,single,tertiary,no,3315,yes,no,apr,820,2,-1,0,no
52,technician,married,secondary,no,196,yes,yes,feb,116,1,273,3,no
41,blue-collar,married,secondary,no,552,yes,no,may,463,1,-1,0,no
52,admin.,married,secondary,no,2347,no,yes,aug,603,3,-1,0,no
34,blue-collar,single,secondary,no,3723,yes,no,may,47,5,-1,0,no
53,management,divorced,primary,no,255,no,no,nov,126,1,-1,0,no
33,management,single,tertiary,no,3143,no,no,jun,421,2,-1,0,yes
47,self-employed,married,secondary,no,0,no,no,jun,174,8,-1,0,no
35,blue-collar,married,secondary,no,6411,yes,yes,jan,144,1,266,2,no
33,management,single,tertiary,no,1909,no,no,aug,191,2,-1,0,no
55,blue-collar,married,primary,no,3873,no,no,apr,222,1,-1,0,no
58,self-employed,married,primary,no,1013,yes,no,aug,206,1,461,1,yes
44,admin.,married,secondary,no,262,yes,no,jul,74,1,-1,0,no
25,services,single,secondary,no,3217,yes,no,may,24,1,-1,0,no
37,technician,single,secondary,no,5436,yes,no,may,7,11,351,1,no
41,blue-collar,married,primary,no,2067,yes,no,may,493,7,-1,0,no
34,blue-collar,single,secondary,no,215,no,no,mar,350,3,-1,0,yes
36,services,divorced,secondary,no,1594,no,no,jun,250,3,-1,0,no
44,self-employed,married,tertiary,no,134,no,no,aug,86,4,-1,0,no
34,entrepreneur,divorced,tertiary,no,262,no,no,nov,371,1,-1,0,no
56,blue-collar,divorced,primary,no,3021,no,no,jun,419,2,-1,0,no
43,management,divorced,tertiary,no,388,yes,no,may,2087,2,-1,0,yes
28,blue-collar,single,secondary,no,3412,yes,no,may,22,4,-1,0,no
54,blue-collar,married,secondary,no,1291,yes,no,may,266,1,-1,0,no
37,technician,divorced,secondary,no,79,no,no,jul,191,1,-1,0,no
59,self-employed,married,tertiary,no,2013,no,no,feb,222,4,94,2,yes
58,blue-collar,divorced,secondary,no,543,no,yes,jul,264,3,-1,0,no
56,management,divorced,tertiary,no,1016,yes,no,jun,184,5,-1,0,no
32,blue-collar,single,secondary,no,604,no,yes,may,95,3,-1,0,no
42,management,single,tertiary,no,525,no,no,aug,127,2,-1,0,no
52,retired,divorced,primary,no,353,no,no,jul,395,4,-1,0,no
46,management,married,tertiary,no,964,yes,no,apr,174,1,-1,0,no
37,admin.,married,tertiary,no,3913,yes,no,apr,124,1,-1,0,yes
39,blue-collar,married,primary,no,879,yes,no,may,102,2,-1,0,no
31,admin.,married,secondary,no,314,yes,no,apr,279,1,-1,0,no
59,housemaid,married,primary,no,0,no,no,aug,76,11,-1,0,no
38,blue-collar,married,secondary,no,1370,yes,no,may,472,2,-1,0,no
58,management,married,secondary,no,37,no,no,aug,84,11,-1,0,no
34,management,single,tertiary,no,673,yes,yes,nov,271,1,184,1,no
40,services,married,secondary,no,-342,yes,no,may,754,1,-1,0,no
20,student,single,secondary,no,291,no,no,may,172,5,371,5,no
34,technician,married,secondary,no,209,yes,yes,apr,375,2,-1,0,no
31,technician,single,tertiary,no,438,yes,no,aug,130,2,-1,0,no
39,admin.,single,secondary,no,1242,yes,no,may,303,3,-1,0,no
34,entrepreneur,married,tertiary,no,355,yes,no,may,261,1,-1,0,no
24,blue-collar,married,secondary,no,204,yes,yes,apr,229,3,-1,0,no
41,management,married,tertiary,no,10758,yes,no,jun,288,1,-1,0,no
40,management,married,tertiary,no,5,yes,no,nov,219,3,-1,0,no
45,technician,single,secondary,no,410,yes,no,may,891,4,-1,0,yes
36,management,married,tertiary,no,605,yes,no,may,204,1,-1,0,no
53,management,married,tertiary,no,4,no,no,jun,19,6,-1,0,no
23,student,single,secondary,no,8494,no,no,aug,158,2,-1,0,no
42,entrepreneur,married,primary,no,198,yes,no,may,314,1,-1,0,no
48,blue-collar,married,secondary,no,841,yes,no,may,215,1,-1,0,no
34,management,married,tertiary,no,8,no,no,aug,169,4,-1,0,no
36,admin.,married,secondary,no,470,yes,no,jul,101,4,-1,0,no
43,retired,married,secondary,no,520,yes,no,may,15,13,-1,0,no
36,blue-collar,married,secondary,no,439,yes,no,may,260,5,-1,0,no
49,blue-collar,married,secondary,no,-454,yes,no,may,558,1,-1,0,yes
55,retired,married,secondary,no,466,no,no,jun,287,4,-1,0,no
53,retired,married,secondary,no,665,yes,no,apr,371,2,-1,0,yes
42,technician,married,secondary,no,994,yes,no,aug,149,1,78,5,yes
45,admin.,married,secondary,no,5346,yes,yes,oct,187,1,-1,0,yes
31,blue-collar,married,secondary,no,1243,yes,no,may,32,1,-1,0,no
32,admin.,married,tertiary,no,0,yes,no,may,138,1,-1,0,no
36,blue-collar,married,secondary,no,2357,yes,no,jun,228,2,-1,0,no
56,retired,married,secondary,no,1044,no,no,jul,353,2,-1,0,yes
46,admin.,married,secondary,no,1069,yes,no,may,45,2,-1,0,no
41,housemaid,single,secondary,no,231,no,no,jul,76,2,-1,0,no
31,admin.,married,secondary,no,0,yes,yes,may,144,2,-1,0,no
32,technician,married,secondary,no,266,yes,no,aug,168,2,-1,0,no
38,management,married,tertiary,no,-70,yes,no,jan,140,1,2,3,no
49,retired,single,primary,no,25824,no,no,jun,94,1,-1,0,no
46,management,single,primary,no,538,no,no,jun,118,3,-1,0,no
29,technician,single,secondary,no,534,yes,no,may,382,1,-1,0,no
36,admin.,married,unknown,no,2323,no,no,nov,111,1,-1,0,no
38,admin.,married,secondary,no,1852,yes,no,may,298,2,-1,0,no
53,technician,married,secondary,no,2647,yes,no,may,121,1,-1,0,no
43,management,married,tertiary,no,2767,yes,no,may,317,7,-1,0,no
41,management,married,tertiary,no,176,yes,yes,may,42,1,-1,0,no
42,management,single,secondary,no,9720,no,no,aug,81,2,-1,0,no
55,blue-collar,divorced,secondary,no,1613,yes,no,apr,296,1,270,3,yes
39,admin.,divorced,secondary,no,2903,yes,yes,jul,259,2,-1,0,no
30,admin.,single,secondary,no,81,yes,no,aug,121,6,112,3,no
41,blue-collar,married,secondary,no,780,yes,no,may,432,3,-1,0,no
44,unemployed,married,tertiary,no,178,no,no,aug,126,2,-1,0,no
58,management,married,tertiary,no,299,no,no,jul,120,4,-1,0,no
35,retired,married,primary,no,285,yes,no,jan,136,1,-1,0,no
27,blue-collar,married,secondary,no,872,yes,no,apr,1130,3,-1,0,no
34,services,married,secondary,no,1337,no,no,dec,330,2,127,3,yes
25,services,married,secondary,no,72,yes,no,jul,305,2,-1,0,no
36,blue-collar,married,secondary,no,0,no,no,jun,332,3,-1,0,no
38,blue-collar,married,secondary,no,-388,yes,no,may,412,1,-1,0,no
30,admin.,married,secondary,no,11,yes,no,may,157,1,-1,0,no
47,blue-collar,divorced,secondary,yes,-535,yes,no,jul,71,2,-1,0,no
41,services,divorced,secondary,no,787,yes,no,may,297,2,-1,0,no
36,management,single,tertiary,no,3343,no,no,nov,307,1,-1,0,no
63,entrepreneur,married,secondary,no,3904,no,no,aug,250,2,187,2,yes
23,management,single,tertiary,no,736,yes,no,apr,119,1,-1,0,no
32,management,married,tertiary,no,1390,no,no,aug,116,2,-1,0,no
57,retired,married,primary,no,808,no,no,jul,274,1,-1,0,no
48,management,married,tertiary,no,1147,no,no,aug,389,1,64,2,yes
49,services,married,secondary,no,1122,no,no,aug,143,1,-1,0,no
50,technician,married,secondary,no,-568,yes,yes,may,860,2,-1,0,no
33,blue-collar,married,primary,no,1165,yes,no,may,420,2,-1,0,no
53,services,divorced,secondary,no,-905,yes,no,may,213,1,-1,0,no
30,unemployed,married,tertiary,no,0,yes,no,nov,756,1,-1,0,no
38,technician,married,secondary,no,740,no,no,aug,259,3,-1,0,no
44,management,married,secondary,no,8262,yes,no,jul,201,16,-1,0,no
39,admin.,single,secondary,no,14,yes,yes,may,19,9,-1,0,no
45,technician,single,unknown,no,7108,yes,yes,nov,53,1,172,3,no
36,blue-collar,married,secondary,no,1049,yes,no,may,224,4,-1,0,yes
38,blue-collar,married,secondary,no,0,yes,no,may,57,5,349,1,no
36,housemaid,married,secondary,no,419,yes,no,may,251,1,-1,0,no
30,management,single,tertiary,no,726,yes,no,apr,39,1,342,3,no
28,technician,divorced,tertiary,no,594,yes,yes,jun,54,3,-1,0,no
26,unemployed,married,tertiary,no,454,yes,yes,may,28,18,-1,0,no
54,unknown,married,secondary,no,2206,no,no,nov,104,1,99,2,yes
38,admin.,married,tertiary,no,1988,no,no,mar,164,2,130,2,yes
32,technician,single,tertiary,no,0,no,no,aug,268,2,-1,0,no
50,admin.,divorced,secondary,no,202,no,yes,nov,148,1,-1,0,no
43,blue-collar,married,secondary,no,667,yes,no,may,228,3,-1,0,no
48,admin.,married,secondary,no,112,no,no,aug,139,5,-1,0,no
57,housemaid,married,primary,no,50,no,no,aug,89,3,-1,0,no
64,housemaid,married,primary,no,768,no,no,jul,250,2,182,1,no
26,services,divorced,secondary,no,74,yes,no,may,106,6,-1,0,no
33,blue-collar,married,secondary,no,661,yes,no,jul,968,1,-1,0,yes
50,self-employed,married,secondary,no,3025,no,yes,aug,168,3,-1,0,no
47,self-employed,married,tertiary,no,751,no,no,jul,408,14,-1,0,no
39,management,single,tertiary,no,416,no,no,oct,56,4,-1,0,no
52,services,married,primary,no,14,no,yes,jul,55,5,-1,0,no
31,blue-collar,single,primary,no,-502,yes,no,may,76,4,-1,0,no
50,blue-collar,married,primary,no,0,no,no,aug,72,5,-1,0,no
47,technician,married,secondary,no,599,yes,no,aug,99,3,-1,0,no
30,management,single,tertiary,no,-218,yes,no,aug,13,15,-1,0,no
32,technician,single,tertiary,no,1012,no,no,apr,178,1,-1,0,no
36,technician,married,secondary,no,300,no,no,jun,287,1,-1,0,no
46,technician,married,tertiary,no,217,yes,no,may,141,1,346,2,no
45,management,divorced,tertiary,no,2096,no,no,nov,127,1,100,2,no
37,technician,single,secondary,no,0,no,no,aug,69,2,-1,0,no
58,housemaid,married,primary,no,5278,yes,no,jun,763,4,-1,0,no
59,management,married,tertiary,no,1831,no,no,feb,122,1,92,1,no
28,management,married,tertiary,no,1480,yes,no,may,143,1,-1,0,no
48,management,married,tertiary,no,7289,yes,no,feb,316,3,-1,0,no
55,blue-collar,married,unknown,no,1665,no,no,jul,89,2,-1,0,no
37,blue-collar,single,primary,no,851,yes,no,may,151,1,352,1,no
41,management,married,tertiary,no,2885,no,no,nov,40,1,-1,0,no
35,blue-collar,married,secondary,no,137,no,yes,oct,5,1,808,12,no
34,blue-collar,single,secondary,no,1239,yes,no,jul,90,1,-1,0,no
43,management,single,tertiary,no,146,no,no,nov,50,1,113,5,no
59,technician,married,secondary,no,1,no,no,apr,159,2,378,3,yes
50,blue-collar,divorced,primary,no,-10,no,yes,jul,369,6,-1,0,no
37,technician,married,secondary,no,480,no,no,oct,344,2,182,8,yes
35,technician,married,secondary,no,2789,yes,no,sep,256,2,94,1,no
50,technician,single,secondary,no,3897,no,no,oct,298,1,-1,0,no
36,technician,divorced,secondary,no,487,no,yes,aug,268,3,-1,0,no
41,admin.,married,secondary,no,5110,yes,no,apr,231,1,-1,0,no
28,management,married,tertiary,no,318,yes,no,may,4,4,-1,0,no
42,technician,single,tertiary,no,-411,yes,no,may,78,5,292,3,no
60,retired,married,secondary,no,4820,no,no,jun,419,1,-1,0,no
28,management,single,tertiary,no,4937,yes,no,may,421,3,-1,0,no
48,entrepreneur,married,secondary,no,725,no,yes,jul,105,1,-1,0,no
51,entrepreneur,married,tertiary,no,5403,no,no,jun,42,1,-1,0,no
32,technician,married,tertiary,no,4089,no,no,may,114,7,287,3,no
35,technician,married,tertiary,no,188,no,no,aug,286,2,-1,0,no
37,technician,married,unknown,no,189,no,no,oct,238,1,107,2,yes
38,blue-collar,divorced,secondary,no,2998,yes,no,jun,91,1,-1,0,no
77,retired,married,secondary,no,610,no,no,aug,766,3,-1,0,no
32,management,single,unknown,no,787,no,no,jan,92,1,-1,0,no
43,technician,divorced,secondary,no,167,no,no,aug,211,3,-1,0,no
36,management,single,tertiary,no,243,yes,no,may,160,2,360,3,no
29,management,married,tertiary,no,877,no,no,feb,166,3,-1,0,no
32,admin.,single,secondary,no,2817,yes,no,nov,195,1,-1,0,no
41,management,divorced,tertiary,no,4567,yes,yes,jul,106,1,-1,0,no
26,services,single,secondary,no,127,yes,yes,jul,85,3,-1,0,no
34,blue-collar,married,primary,no,176,no,no,jul,78,1,-1,0,no
57,retired,married,tertiary,no,0,yes,yes,may,648,1,-1,0,yes
36,services,single,secondary,no,1482,yes,no,nov,177,2,174,1,no
42,blue-collar,married,secondary,no,3052,yes,no,may,32,1,-1,0,no
35,technician,divorced,secondary,no,56,no,no,aug,24,12,-1,0,no
52,entrepreneur,divorced,primary,no,278,yes,no,may,688,2,-1,0,no
36,management,single,tertiary,no,3875,yes,no,may,21,5,-1,0,no
46,technician,married,secondary,no,-337,yes,no,may,112,1,-1,0,no
60,management,divorced,tertiary,no,366,no,no,jun,593,1,-1,0,yes
57,housemaid,married,primary,no,501,yes,yes,aug,59,2,-1,0,no
48,management,married,tertiary,no,998,yes,no,jan,121,3,-1,0,no
59,self-employed,married,primary,no,0,yes,no,jul,97,2,-1,0,no
39,management,married,tertiary,no,246,no,no,aug,86,2,-1,0,no
44,blue-collar,married,secondary,no,-182,yes,yes,may,10,10,-1,0,no
27,management,single,tertiary,no,446,no,no,jun,205,3,-1,0,no
59,retired,married,secondary,no,1173,no,no,jun,77,2,-1,0,no
36,technician,divorced,secondary,no,5957,yes,no,nov,138,2,-1,0,no
44,admin.,married,secondary,no,205,no,no,nov,289,1,-1,0,yes
50,admin.,married,secondary,no,0,no,no,aug,86,4,-1,0,no
41,management,divorced,tertiary,no,369,yes,no,aug,9,3,-1,0,no
47,admin.,married,secondary,no,1934,no,yes,may,225,1,364,1,no
32,technician,single,tertiary,no,259,no,no,jul,407,4,-1,0,no
38,blue-collar,married,secondary,no,284,yes,yes,jun,1030,6,-1,0,no
55,blue-collar,married,unknown,no,23,no,no,aug,123,2,-1,0,no
38,management,single,tertiary,no,1373,no,no,oct,119,4,-1,0,no
31,management,single,tertiary,no,62,yes,no,may,175,1,293,5,no
38,blue-collar,divorced,secondary,no,157,no,no,jun,299,5,-1,0,no
29,unemployed,single,tertiary,no,991,no,no,feb,563,1,-1,0,no
55,services,married,secondary,no,186,yes,yes,may,241,1,-1,0,no
35,unemployed,married,secondary,no,977,yes,no,may,52,4,91,1,no
40,self-employed,single,tertiary,no,2893,no,no,jun,76,3,-1,0,no
34,blue-collar,married,secondary,no,1897,yes,yes,nov,441,1,-1,0,no
32,technician,single,tertiary,no,5514,no,no,apr,319,1,182,1,yes
33,blue-collar,married,secondary,no,889,yes,no,sep,13,1,373,6,no
33,management,married,tertiary,no,273,yes,no,may,803,1,-1,0,yes
37,admin.,married,secondary,no,1193,no,no,may,396,2,-1,0,no
58,management,married,tertiary,no,2729,no,no,jun,188,1,-1,0,no
36,admin.,single,secondary,no,0,no,no,apr,637,1,-1,0,no
42,blue-collar,married,secondary,no,230,yes,no,jun,175,7,-1,0,no
34,technician,single,secondary,no,2729,yes,no,apr,945,1,139,1,no
35,management,married,tertiary,no,317,yes,no,may,162,3,-1,0,no
60,housemaid,married,primary,no,517,no,no,jun,1178,3,-1,0,no
50,management,married,tertiary,no,-470,yes,no,may,506,2,170,3,no
28,self-employed,single,tertiary,no,4579,no,no,jan,409,2,-1,0,yes
27,blue-collar,divorced,secondary,no,1,yes,no,jul,116,3,-1,0,no
37,management,married,tertiary,no,5106,no,no,apr,244,1,-1,0,yes
31,technician,married,tertiary,no,636,yes,no,may,352,4,-1,0,yes
34,services,married,secondary,no,1076,no,no,may,152,1,182,6,yes
38,management,married,tertiary,no,126,yes,no,may,164,2,-1,0,no
32,self-employed,married,secondary,no,-33,yes,no,may,234,3,-1,0,no
37,technician,married,secondary,no,430,no,no,aug,154,4,-1,0,no
33,admin.,married,secondary,no,-6,yes,no,may,566,2,-1,0,no
71,technician,married,tertiary,no,383,no,no,oct,327,2,183,3,no
27,technician,married,secondary,no,130,yes,no,may,265,3,-1,0,no
38,blue-collar,married,primary,no,2569,no,no,jun,172,1,-1,0,no
34,technician,single,secondary,no,201,no,no,jul,257,2,-1,0,no
54,retired,divorced,tertiary,no,0,no,no,may,618,1,-1,0,yes
30,blue-collar,married,secondary,no,6,yes,no,jan,241,3,-1,0,no
35,entrepreneur,single,secondary,no,475,no,yes,jul,936,4,-1,0,no
33,blue-collar,single,secondary,no,706,yes,no,apr,329,1,322,1,no
36,management,married,secondary,no,1825,yes,no,may,24,1,346,1,no
59,self-employed,married,tertiary,no,185,no,no,jun,177,5,138,1,no
72,blue-collar,married,primary,no,4415,no,no,oct,120,1,-1,0,no
64,management,married,tertiary,no,679,no,no,apr,135,3,-1,0,no
53,technician,divorced,secondary,no,320,no,no,jul,175,1,-1,0,no
35,management,single,tertiary,no,2988,yes,no,may,179,1,-1,0,no
58,self-employed,married,secondary,no,1407,yes,no,may,58,1,-1,0,no
40,technician,married,secondary,no,1270,no,no,apr,342,2,-1,0,no
41,services,divorced,secondary,no,654,yes,no,may,139,2,-1,0,no
48,retired,married,primary,no,5173,yes,no,jun,88,8,-1,0,no
44,entrepreneur,married,tertiary,no,3463,yes,yes,aug,210,3,-1,0,no
39,blue-collar,married,unknown,no,0,no,no,feb,731,1,193,3,no
61,management,married,tertiary,no,6016,no,no,feb,670,3,-1,0,yes
36,entrepreneur,married,primary,no,177,yes,no,may,63,5,-1,0,no
28,management,married,tertiary,no,3694,no,yes,jul,70,2,-1,0,no
58,retired,single,secondary,no,1640,no,yes,feb,72,6,274,4,no
60,admin.,divorced,secondary,no,174,yes,no,may,241,1,364,1,no
66,admin.,single,secondary,no,10177,no,no,may,272,4,-1,0,no
36,management,single,tertiary,no,490,no,no,aug,207,8,98,1,yes
49,self-employed,married,secondary,no,2576,yes,no,may,64,6,-1,0,no
40,services,married,secondary,no,0,no,no,jun,543,2,-1,0,no
23,technician,single,secondary,no,598,no,no,apr,166,1,-1,0,no
29,management,single,tertiary,no,15459,no,no,may,245,3,97,7,no
44,blue-collar,married,primary,no,271,yes,yes,may,94,1,-1,0,no
54,unknown,married,unknown,no,2508,no,no,jun,34,8,-1,0,no
47,blue-collar,married,primary,no,320,no,no,jul,203,2,-1,0,no
33,admin.,married,tertiary,no,640,no,no,jul,318,1,-1,0,no
30,self-employed,married,secondary,no,1772,yes,no,apr,158,4,-1,0,no
27,admin.,single,secondary,no,15,no,yes,jul,177,1,-1,0,no
49,management,divorced,tertiary,no,2370,yes,yes,nov,56,1,103,2,no
27,services,single,secondary,no,201,yes,no,jun,172,2,-1,0,no
51,blue-collar,married,secondary,no,160,yes,no,may,136,1,359,1,no
32,admin.,divorced,secondary,yes,5,yes,yes,may,82,3,363,2,no
30,blue-collar,single,secondary,no,75,yes,no,may,123,1,-1,0,no
33,admin.,married,secondary,no,4902,yes,no,nov,110,1,-1,0,no
27,blue-collar,single,primary,no,-79,yes,no,may,385,5,-1,0,no
75,retired,divorced,secondary,no,1341,no,no,dec,415,7,-1,0,yes
37,services,divorced,secondary,no,490,yes,no,feb,73,1,-1,0,no
36,technician,single,secondary,no,1521,yes,no,jun,243,2,-1,0,no
37,blue-collar,married,secondary,no,131,yes,no,may,137,2,-1,0,no
35,management,married,tertiary,no,8,yes,no,may,55,4,-1,0,no
32,services,married,secondary,no,-632,yes,yes,apr,18,5,-1,0,no
32,admin.,single,secondary,no,116,no,yes,jul,255,2,-1,0,no
35,admin.,married,primary,no,189,yes,no,may,95,1,-1,0,no
